sku,manufacturer_sku,manufacturer_name,short_description,sell_price,srp_price,currency_id,wequote_id
NVR-FX16POE-1U4K1-4TB,,ICRealtime,16CH IP 1U NVR-2HDD BAY-IP 8MP/30FPS (128MBPS)- 16 PORT POE SWITCH 4TB INCLUDED(MADE IN KOREA),47314.78,0,ZAR,1208823
NVR-FX16POE-1U4K1,,ICRealtime,16CH IP 1U RACKMOUNT NVR - 2HDD - IP RESOLUTION UP TO 8MP/30FPS (128MBPS) - 16 PORT EMBEDDED POE,39804.35,0,ZAR,1208822
NVR-MX16POE-1U4K1-4TB,,ICRealtime,16CH IP 1U SHELF NVR-2HDD BAY-IP 8MP/30FPS(128MBPS)-16 PORT POE SWITCH 4TB INCLUDED (MADE IN KOREA),42267.83,0,ZAR,1208829
SLIMMAX8K1M,,HDANYWHERE,1m 8K Ultra High Speed Slimwire Max (48G),607.83,0,ZAR,1209487
NRGX2EUC71M,,AudioQuest,1M NRG-X2 EU - C7 Power Cable,1129.57,0,ZAR,1208797
NRGX3EUC131M,,AudioQuest,1M NRG-X3 EU - C13 Power Cable,1390.43,0,ZAR,1208799
RMB-SIPA12F-00,,SAVANT,1U FRONT RACK MOUNT BRACKET FOR SINGLE ZONE AMP,1817.3913,0,ZAR,1209307
CON-SDC2-00,,SAVANT,2-PIN SCREW-DOWN CONNECTOR 25-PACK,1663.48,0,ZAR,1208116
CON-STC2-00,,SAVANT,2-PIN SPRING-LOADED CONNECTOR 25-PACK,3327.83,0,ZAR,1208117
HDM48CAR200,,AudioQuest,2.0M 48G CARBON HDMI,5739.13,0,ZAR,1208517
HDM48CIN200,,AudioQuest,2.0M 48G CINNAMON HDMI,3652.17,0,ZAR,1208522
HDM48FOR200,,AudioQuest,2.0M 48G FOREST HDMI,1913.04,0,ZAR,1208526
HDM48PEA200,,AudioQuest,2.0M 48G PEARL HDMI,1217.39,0,ZAR,1208530
BLAB02,,AudioQuest,2.0M BLACK LAB SUBWOOFER,1043.48,0,ZAR,1207999
EVERG02R,,AudioQuest,2.0M EVERGREEN RCA-RCA,1913.04,0,ZAR,1208386
NRGY2EU02,,AudioQuest,2.0M NRG-Y2 EU POWER CORD,2607.83,0,ZAR,1208802
NRGY3EU02,,AudioQuest,2.0M NRG-Y3 EU POWER CORD,3303.48,0,ZAR,1208804
NRGZ2EU02,,AudioQuest,2.0M NRG-Z2 EU POWER CORD,4520.87,0,ZAR,1208806
NRGZ3EU02,,AudioQuest,2.0M NRG-Z3 EU POWER CORD,6086.09,0,ZAR,1208808
TOWER02R,,AudioQuest,2.0M TOWER RCA-RCA,1217.39,0,ZAR,1209616
ENS620EXT,,EnGenius,2.4GHz/5GHz. Antenna External 2 x5 dBi. Speed 2 x 2 11ac Operating Mode: AP/WDS/Client Bridge. IP55,5403.48,0,ZAR,1208363
ROCK11B2.5FRBS,,AudioQuest,2.5M PR ROCKET 11 BK BAN/S,7304.35,0,ZAR,1209317
ROCK22B2.5FRBS,,AudioQuest,2.5M PR ROCKET 22 BK BAN/S,10434.78,0,ZAR,1209318
ROCK332.5PR,,AudioQuest,2.5M PR ROCKET 33 BAN/S,13999.13,0,ZAR,1209319
200PREB,,Parasound,200PRE Preamplifier,34773.91,0,ZAR,1207549
2125.v2,,Parasound,2125 v2 Power Amplifier,31295.65,0,ZAR,1207550
NVR-FX24POE-15U4K1-8TB,,ICRealtime,24CH IP 1.5U NVR-4HDD BAY-IP 12MP/30FPS(320MBPS)-24 PORT POE SWITCH 8TB INCLUDED (MADE IN KOREA),111122.61,0,ZAR,1208825
NVR-FX24POE-15U4K1,,ICRealtime,24CH IP 1.5U RACK NVR-4HDD BAY-IP 12MP/30FPS-24 PORT POE SWITCH (MADE IN KOREA),94297.39,0,ZAR,1208824
THIP-P4078FM-IR,,ICRealtime,256X192THERMAL4MPVISIBLE HYBRID PT7MM8MMFIXED(33°/25°)TEMP/FIRE DETECT.AUTOTRACK AI ANALYTICS NOPSU,83712.17,0,ZAR,1209607
275.v2,,Parasound,275 Power Amplifier Black,26078.26,0,ZAR,1207551
SLIMMAX8K2M,,HDANYWHERE,2m 8K Ultra High Speed Slimwire Max (48G),868.7,0,ZAR,1209488
NRGX2EUC72M,,AudioQuest,2M NRG-X2 EU - C7 Power Cable,1390.43,0,ZAR,1208798
NRGX3EUC132M,,AudioQuest,2M NRG-X3 EU - C13 Power Cable,1738.26,0,ZAR,1208800
ORB,,ICRealtime,2MP INDOOR PT WIFI CAMERA BUILT-IN MICROPHONE & SPEAKER 33FT IR TRACKING DASH CLOUD SERVICE,3401.74,0,ZAR,1208878
IPEG-B20F-IRW2,,ICRealtime,2MP IP INDOOR/OUTDOOR SMALL SIZE BULLET. FIXED 2.8MM LENS (110Â°). 98 FEET IR. POE CAPABLE.,4280.87,0,ZAR,1208575
IPEG-D20F-IRW2,,ICRealtime,2MP IP INDOOR/OUTDOOR SMALL SIZE VANDAL DOME FIXED 2.8MM LENS (110. 98 FEET IR POE CAPABLE,3711.3,0,ZAR,1208580
IPEG-E20F-IRW2,,ICRealtime,2MP IP INDOOR/OUTDOOR SMALL VANDAL EYEBALL DOME. FIXED 2.8MM LENS (110Â°). 98 FEET IR. POE CAPABLE.,3752.17,0,ZAR,1208584
GUARDI,,ICRealtime,2MP WIFI INDOOR CAMERA. DASH CLOUD SERVICE WITH DASH APP.,2720.87,0,ZAR,1208502
