sku,product_name,brand,wequote_sell_price_zar,odoo_sales_price_zar,price_diff_wequote_minus_odoo,odoo_cost_price_zar,wequote_msrp_zar,status
PAV-SIPA125SM-10,IP AUDIO 125 WITH SAVANT MUSIC SERVER,SAVANT,113042.6087,106066.96,6975.648699999991,63640.18,0.0,Matched - PRICE MISMATCH
PAV-SIPA50SMV2-05,IP AUDIO 50 V2 WITH SAVANT MUSIC SERVER,SAVANT,73904.35,70711.3,3193.050000000003,42426.79,0.0,Matched - PRICE MISMATCH
RAYG1EU1BLK,Sonos Ray Optical/WiFi Smart Soundbar - Black (S36),Sonos,5651.3,6086.09,-434.78999999999996,4521.04,0.0,Matched - PRICE MISMATCH
REM-4000SGI-00,SAVANT PRO REMOTE X2 SPACE GRAY (INTERNATIONAL),SAVANT,20513.0435,18992.17,1520.8735000000015,11395.31,0.0,Matched - PRICE MISMATCH
RMB-SIPA12F-00,1U FRONT RACK MOUNT BRACKET FOR SINGLE ZONE AMP,SAVANT,1817.3913,1604.35,213.0413000000001,962.61,0.0,Matched - PRICE MISMATCH
S150R/C,S150 Right/C Black,M&K Sound,45504.3478,33042.61,12461.737800000003,20726.73,0.0,Matched - PRICE MISMATCH
S150T,S150T Black Pair,M&K Sound,62834.7826,43477.39,19357.3926,27272.18,0.0,Matched - PRICE MISMATCH
S300R/C,S300 Right/C Black,M&K Sound,80556.5217,62607.83,17948.691699999996,35473.04,0.0,Matched - PRICE MISMATCH
S300T,S300T Black Pair,M&K Sound,111043.4783,86955.65,24087.82830000001,54544.91,0.0,Matched - PRICE MISMATCH
SAV-PROHOST,"PRO HOST, PLUS RUNTIME",SAVANT,131860.8696,115971.3,15889.569600000003,92777.05,0.0,Matched - PRICE MISMATCH
SAV-S12REM,"S12 HOST, PLUS RUNTIME, PLUS REM-4000",SAVANT,51765.2174,46941.74,4823.477400000003,28165.05,0.0,Matched - PRICE MISMATCH
SAV-S12REMVIDEO,"S12 HOST, PLUS RUNTIME, PLUS REM-4000, 3RD PART VIDEO PACKAGE",SAVANT,65043.48,62426.96,2616.520000000004,37456.18,0.0,Matched - PRICE MISMATCH
SKL-1010-00,SAVANT- SKL- 1010- 10 KEYPAD POWER AND CONTROLLER,SAVANT,7426.09,6839.13,586.96,4787.4,0.0,Matched - PRICE MISMATCH
SSC-0012-00,SAVANT SMARTCONTROL 12 - SMART CONTROLLER WITH 6 IR 2 RS232 2 GPIO AND 2 RELAY,SAVANT,20860.8696,16713.04,4147.829600000001,10027.83,0.0,Matched - PRICE MISMATCH
SSL-PROE-1YR,SAVANT ESSENTIALS 1 YEAR SUBSCRIPTION (PRO),SAVANT,19991.3,17851.3,2140.0,10710.79,0.0,Matched - PRICE MISMATCH
SUR55TB,SUR55T Black Pair,M&K Sound,34208.6957,24346.96,9861.735699999997,15272.18,0.0,Matched - PRICE MISMATCH
TVM 5605,TVM 5605 Fixed TV Wall Mount,Vogels,2260.8696,2520.87,-260.0003999999999,1121.74,0.0,Matched - PRICE MISMATCH
TVM 5645,TVM 5645 Full-Motion TV Wall Mount,Vogels,7826.087,7825.22,0.8670000000001892,3850.43,0.0,Matched - PRICE MISMATCH
