sku,description,sales_price,cost
ECW220,Cloud Management AP 11ax/ac wave2/a/b/g/n Dual Band Concurrent Ceiling Mount AP 1 x 10/100/1000 M,7132.169999999999,4992.53
ECS1552,Cloud Management Switch with 48 GE + 4 10GE SFP+. internal power supply. 19inch 1U rack-mountable,19885.22,13919.66
COACH,Coach Screws And Plugs,6.0,4.0
DS-2CD2647G2-LZS(3.6-9MM),ColorVu 4MP bullet 3.6-9mm lens  up to 60m IR  120dB WDR  1 audio/ 1 alarm I/O 12VDC/POE,8065.299999999999,4839.179999999999
DS-2CD2347G2H-LISU/SL 2.8MM,ColorVu 4MP turret 2.8mm lens 30m hybrid-light 130dB WDR microphone  1 audio/ 1 alarm I/O  built-in strobe-light & siren 12VDC/POE,3697.24285714286,2588.0699999999997
CDNGLWW1BLK,Combo Adapter WW (Black),1042.61,834.09
CDNGLWW1,Combo Adapter WW (White),1042.61,834.09
CNLGKXX,Controller Nova Hub Logic Gateway  Ethernet KNX,11250.43,6750.259999999999
CNLG4XX,Controller Nova Hub Logic Gateway  Ethernet RS485 for Control 4,7486.959999999999,4492.17
COOLPLUG-DK,Cool Plug Wired Split Unit HVAC(Daikin),5217.389999999999,4500.0
COOLPLUG-ME,Cool Plug Wired Split Unit HVAC(Mitsubi),5217.389999999999,4500.0
COOLPLUG,Cool Plug Wired Split Unit HVAC(Samsung),5217.389999999999,4500.0
CMNETH-DK,CoolMasterNet HVAC Bridge (Daikin),43043.48,37125.0
CMNETH-LG,CoolMasterNet HVAC Bridge (LG),43043.48,37125.0
CMNETH-MD,CoolMasterNet HVAC Bridge (Midea),43043.48,37125.0
CMNETH-SM,CoolMasterNet HVAC Bridge (Samsung),43043.48,37125.0
COOLPLUGWRLS-DK,CoolPlug Wireless Split Unit HVAC(Daikin,6608.7,5700.0
COOLPLUGWRLS-SM,CoolPlug Wireless Split Unit HVAC(Samsun,6608.7,5700.0
COOLLINKHUB,Coolautomation HVAC SplitandMulti Split W,6086.96,5250.0
CD-FS1010P,Cudy 10 Port Fast Ethernet 8 PoE 115W Switch | FS1010P,450.0,335.0
CD-GS1010P,Cudy 10 Port Gigabit 8 PoE 100W PoE Switch | GS1010P,625.0,450.0
CD-FS1018PS,Cudy 16 Port Fast Ethernet PoE 190W 2 Gigabit 1SFP Switch | FS1018PS1,1025.0,750.0
CD-GS1020PS,Cudy 16 Port Gigabit PoE 190W 2SFP Switch | GS1020PS2,2950.0,2050.0
CD-GS1016,Cudy 16 Port Gigabit Rack-Mount Switch | GS1016,595.0,450.0
CD-FS1026PS,Cudy 24 Port Fast Ethernet PoE 290W 2 Gigabit 1SFP Switch | FS1026PS1,1750.0,1295.0
CD-GS1028PS,Cudy 24 Port Gigabit PoE 290W 2SFP Switch | GS1028PS2,3595.0,2495.0
CD-GS1024,Cudy 24 Port Gigabit Rack-Mount Switch | GS1024,850.0,625.0
CD-GSPOE40,Cudy 4 Port Gigabit PoE 1x PoE Input 60W Switch | POE40,550.0,395.0
CD-LT500O,Cudy 4G LTE4 Dual Band 1200Mbps Outdoor WiFi 5 Router | LT500 Outdoor,1350.0,995.0
CD-LT500,Cudy 4G LTE4 Dual Band 1200Mbps WiFi 5 Router | LT500,775.0,575.0
CD-LT700,Cudy 4G LTE6 Dual SIM 1200Mbps WiFi 5 Router | LT700,1925.0,1425.0
CD-GS1005PT,Cudy 5 Port Gigabit 4 PoE 120W 1SFP Switch | GS1005PTS1,550.0,395.0
CD-GS105D,Cudy 5 Port Gigabit Desktop Switch | GS105D,185.0,125.0
CD-R700,Cudy 5 Port Gigabit Multi-WAN VPN Router | R700,625.0,450.0
CD-FS1006P,Cudy 6 Port Fast Ethernet 4 PoE 60W Switch | FS1006P,350.0,250.0
CD-FS1010PG,Cudy 8 Port Fast Ethernet PoE 115W 2 Gigabit Switch | FS1010PG,550.0,395.0
CD-GS108D,Cudy 8 Port Gigabit Desktop Switch | GS108D,275.0,195.0
CD-AP1300O,Cudy Dual Band 1200Mbps WiFi 5 Outdoor Access Point | AP1300 Outdoor,1075.0,795.0
CD-M12003,Cudy Dual Band AC 1200Mbps Fast Ethernet Mesh 3 Pack | M1200 (3-Pack),1195.0,825.0
CD-WR1200,Cudy Dual Band WiFi 5 1200Mbps 5dBi Fast Ethernet Router | WR1200,350.0,250.0
CD-WR1300,Cudy Dual Band WiFi 5 1200Mbps 5dBi Gigabit Mesh Router | WR1300,475.0,325.0
CD-M12002,Cudy Dual Band WiFi 5 1200Mbps Fast Ethernet Mesh 2 Pack | M1200 (2-Pack),795.0,550.0
CD-M12001,Cudy Dual Band WiFi 5 1200Mbps Fast Ethernet Mesh Router | M1200 (1-Pack),375.0,275.0
CD-RE1200,Cudy Dual Band WiFi 5 1200Mbps Fast Ethernet Range Extender | RE1200,325.0,225.0
CD-M13002,Cudy Dual Band WiFi 5 1200Mbps Gigabit Mesh 2 Pack | M1300 (2-Pack),1025.0,750.0
CD-M13003,Cudy Dual Band WiFi 5 1200Mbps Gigabit Mesh 3 Pack | M1300 (3-Pack),1525.0,1125.0
CD-M13001,Cudy Dual Band WiFi 5 1200Mbps Gigabit Mesh Router | M1300 (1-Pack),525.0,375.0
CD-U1400,Cudy Dual Band WiFi 5 1300Mbps 5dBi USB 3.0 Adapter | WU1400,225.0,150.0
CD-U1300,Cudy Dual Band WiFi 5 1300Mbps USB 3.0 Adapter | WU1300S,175.0,125.0
CD-M18002,Cudy Dual Band WiFi 6 1800Mbps Gigabit Mesh 2 Pack | M1800 (2-Pack),1695.0,1175.0
CD-M18003,Cudy Dual Band WiFi 6 1800Mbps Gigabit Mesh 3 Pack | M1800 (3-Pack),2525.0,1750.0
CD-M18001,Cudy Dual Band WiFi 6 1800Mbps Gigabit Mesh Router | M1800 (1-Pack),850.0,595.0
CD-WR3000,Cudy Dual Band WiFi 6 3000Mbps 5dBi Gigabit Mesh Router | WR3000,575.0,395.0
CD-RE3000,Cudy Dual Band WiFi 6 3000Mbps Gigabit Range Extender | RE3000,750.0,550.0
CD-M30001,Cudy Dual Band WiFi 6 3000Mbps Multi-Gigabit Mesh Router | M3000_W (1-Pack),775.0,550.0
CD-MC220,Cudy Gigabit Ethernet Media Converter | MC220,215.0,150.0
CD-SFP-MM,Cudy Multi Mode 1.25G LC SFP 850nm 500m | SM100GMA-05,100.0,75.0
CD-SFP-MM10,Cudy Multi Mode 10G LC SFP+ 850nm 300m | SM10GMA-03,175.0,125.0
CD-SFP-MM25,Cudy Multi Mode 25G LC SFP28 850nm 100m | SM25GMA-01,350.0,250.0
CD-SFP-RJ45,Cudy SFP to RJ45 Gigabit Ethernet Module | SM220,130.0,95.0
CD-SFP-RJ45P,Cudy SFP+ to RJ45 10Gbps Ethernet Module | SM10GL,795.0,595.0
CD-SFP-SMB,Cudy Single Mode 1.25G LC Bi-Directional SFP 20km | SM100GSB-20AB,250.0,175.0
CD-SFP-SM,Cudy Single Mode 1.25G LC SFP 1310nm 20km | SM100GSA-20,95.0,70.0
CD-SFP-SMB10,Cudy Single Mode 10G LC Bi-Directional SFP 20km | SM10GSB-20AB,650.0,475.0
CD-SFP-SM10,Cudy Single Mode 10G LC SFP+ 1310nm 10km | SM10GSA-10,250.0,175.0
CD-SFP-SM25,Cudy Single Mode 25G LC SFP28 1310nm 10km | SM25GSA-10,595.0,450.0
CS-18C,Custom CS-18C Skyhook Cinch White In-Ceiling Speaker 8 Inch,2433.91,1460.35
Custom Gooseneck,Custom Gooseneck,2875.0,1725.0
D500LCRBL,D 500 LCR High Gloss Black,7825.219999999999,5477.65
D500SURBL,D 500 Surround High Gloss Black,13912.17,9738.519999999999
D600SURL,D 600 Surround LEFT,8252.17,4951.299999999999
D600SURR,D 600 Surround RIGHT,8252.17,4951.299999999999
D500LCRWH,D500 LCR High Gloss White,7825.219999999999,5477.65
D500SURWH,D500 SUR White,13912.17,9738.519999999999
C11217,DAC MAGIC 200M Luna Grey UK/EU/CU,17390.43,10434.26
DH-PFS3106-4ET-60,"DAHUA  4 Port Layer two Hardened PoEswitch· Supports PoE power management · MAC auto learning and aging, MAC address capacity is 8K · Conforms to IEEE",1735.6499999999999,1197.0
DH-PFS3110-8ET-96,"DAHUA  8 Port Layer two Hardened PoE switch· · Supports PoE power management · MAC auto learning and aging, MAC address capacity is 8K · Conforms to I",2106.85,1453.0
DH-TPC-BF2221-B7F8,"DAHUA (Thermal + Starlight ) Dual Lens IP Bullet Camera with smart video analytic IVS  Thermal: 256*192  lens: 7mm, Visible: 2Mp  8mm, Support IVS, Fi",24594.9,16962.0
DH-TPC-SD2221-B7F8,"DAHUA (Thermal + Starlight ) Dual Lens IP PAN / TILT Camera with smart video analytic IVS  Thermal: 256*192  lens: 7mm, Visible: 2Mp  8mm, Support IVS",28775.25,19845.0
DH-PFM800-E,"DAHUA 1 Channel Passive HDCVI Balun >Real-time transmission over UTP CAT5E/6 cable.>Passive, no need for power supply.>With female BNC connector, and",85.55,59.0
PFM801-4MP,"DAHUA 1 Channel Passive HDCVI Balun with Power > Input voltage DC24-36V, can provide DC12V 8W(max) power supply to remote cameras,> Real-time transmis",282.75,195.0
DH-PFM800B-4K,"DAHUA 1-CH Passive Video Balun > Real-time transmission over UTP CAT5E/6 cable> Passive, no need for power supply> Excellent anti-thunder, anti-static",114.55,79.0
DH-PLZ21C0-D,DAHUA 12 MP 10.5 mm to 42 mm Vari-focal Lens • 12 MP 1/1.7-in. Image Format• 10.5 mm to 42 mm Vari-focal Lens• CS-type Mount• IR Correction• Designed,1677.6499999999999,1157.0
DH-IPC-HFW81230E-ZE,DAHUA 12MP 50m IR BULLET Network Camera with smart video analytic IVS  ·1/2.5” 12Megapixel progressive scan CMOS · H.265&H.264 dual-stream encoding ·,5763.75,3975.0
DH-IPC-HDBW81230EP-ZH-S2,DAHUA 12MP Panoramic Network IR Fisheye Camera with smart video analytic IVS  ·1/2.5” 12Megapixel progressive scan CMOS · H.265&H.264 dual-stream enco,5763.75,3975.0
DH-IPC-EBW81242-AS-S2,"DAHUA 12MP Panoramic Network IR Fisheye Camera; · 12MP, 1/1.7”CMOS image sensor
· Max output 12MP (4000×3000)@30fps· 3D DNR,AWB,HLC, BLC,ROI, SVC, SMA",13709.75,9455.0
DH-PFM344D-8CH-EN,"DAHUA 12V 60W 8CH CCTV Distributed Power Supply ▪︎Multi-output DC12V switching power.
▪︎Output voltage adjustable.
▪︎Professional wall-mounted install",333.5,230.0
DH-PFM343-19CH,"DAHUA 12V20A 19CH CCTV Distributed Power Supply box> Wide voltage input: AC90~264Vac, meet the requirements in different parts for electric network fl",1442.75,995.0
DH-PFS4420-16GT-250,"DAHUA 16-port PoE Gigabit managed switch. , which supports IEEE802.3 af/at PoE standard. It supports Layer 2 network management and PoE management bas",7242.75,4995.0
DHI-NVR4216-16P-4KS2/L,DAHUA 16CH 16PoE 4K NVR  > 16-channel IP video access> Smart H.265+/Smart H.264+/H.265/H.264; H.265 auto switch> Max 200 Mbps incoming bandwidth > Up,7387.75,5095.0
DH-XVR7216A-4KL-X,DAHUA 16CH 4K 5in1 DVR with IoT functionalities >Embedded processor > 2x HDD up to 20TB >16 Channel Penta-brid 4K Mini 1U Digital Video Recorder> H.26,0.0,0.0
DH-XVR1B16-I,"DAHUA 16CH Penta-brid 1080N/720p WizSense XVR >· H.265+/H.265 dual-stream video compression
· Supports Full-channel AI-Coding· Supports HDCVI/AHD/TVI/",1772.3999999999999,1266.0
DH-XVR5216AN-S2,"DAHUA 16CH Penta-brid 1080P XVR  Embedded processor
· H.264+/H.264 dual-stream video compression
· Support HDCVI/AHD/TVI/CVBS/IP video inputs
· Max 6/",3783.0499999999997,2609.0
DH-XVR5116H-4KL-I3,"DAHUA 16CH Penta-brid 4K-N/5MP AI WizSense DVR > H.265+/H.265 dual-stream video compression.
> Supports Full-channel AI-Coding.> Supports HDCVI/AHD/TV",6799.049999999999,4689.0
DH-XVR5216A-4KL-I3,DAHUA 16CH Penta-brid 4K-N/5MP AI WizSense DVR> H.265+/H.265 dual-stream video compression.> Supports Full-channel AI-Coding.> Supports HDCVI/AHD/TVI/,7300.75,5035.0
DH-XVR5216AN-I3,"DAHUA 16CH Penta-brid 5M-N/1080P WizSense AI XVR  H.265+/H.265 dual-stream video compression
· Supports Full-channel AI Coding· Supports HDCVI/AHD/TVI",4974.5199999999995,3430.7
DH-XVR1B16H-I,"DAHUA 16CH Penta-brid 5M-N/1080P WizSense AI XVR , > H.265+/H.265 dual-stream video compression> Supports Full-channel AI Coding> Supports HDCVI/AHD/T",3783.0499999999997,2609.0
DH-XVR5116HS-I3,"DAHUA 16CH Penta-brid 5M-N/1080P WizSense AI XVR , > H.265+/H.265 dual-stream video compression> Supports Full-channel AI Coding> Supports HDCVI/AHD/T",4321.0,2980.0
DHI-NVR5216-EI,DAHUA 16CH WizSense Network Video Recorder  Smart H.265+/H.265/Smart H.264+/H.264/MJPEG decoding format 32-channel 1080p self-adaptive decoding capabi,6749.03,4654.5
DHI-NVR2216-16P-I2,DAHUA 16CH WizSense Network Video Recorder ●Smart H.265+/H.265/Smart H.264+/H.264/MJPEG decoding format●Max. decoding capability: 6 × 1080p@30 fps. Su,6394.5,4410.0
DHI-LM19-F100,"DAHUA 18.5  Industrial level monitor· suitable for extensive 7×24 continuous works· High fidelity digital processing, brilliant and vivid video· Suita",2492.0,1495.0
DH-IPC-HFW5241EP-Z5E,"DAHUA 2 MP WizMind AI 120m IR Motorized Lens Bullet Network Camera   · 1/2.8” 2Megapixel progressive scan STARVIS™ CMOS· ROI, SMART H.264+/H.265+, fle",6369.71,4392.9
DHI-LM22-H200,"DAHUA 21.5'' Industrial Monitor> Suitable for continuous 24/7 operation> Ultra-thin body with metal housing;> Micro bezel design, elegant appearance,",3617.75,2495.0
DHI-LM24-B200S,"DAHUA 24 '' Industrial Monitor ;>Suitable for continuous 24/7 operation.  Ultra-narrow bezel, elegant appearance, metal base;> 178°H/178°V extra-wide",3877.2999999999997,2674.0
DHI-LM27-B200,"DAHUA 27 '' Industrial Monitor ;>Suitable for continuous 24/7 operation.  Ultra-narrow bezel, elegant appearance, metal base;> 178°H/178°V extra-wide",5337.45,3681.0
DH-HAC-HDW1200TLMP-A,DAHUA 2MP 1080P HDCVI Weatherproof 30m IR Metal Dome Camera with built-in Microphone > Max 30fps@1080P > Built-in mic  > CVI/CVBS/AHD/TVI switchable >,558.25,398.75
DH-HAC-B4A21P-VF-2712,"DAHUA 2MP 1080P HDCVI Weatherproof 30m IR Vari-focal  2.7-12mm Lense: 25/30fps@1080P l High speed, long distance real-time transmission l Day/Night(IC",908.6,649.0
DH-HAC-HDW1239TLP-A-LED,DAHUA 2MP 24X7 Full-color Starlight HDCVI Dome Camera with - ·20m White LED illuminator / Built in Microphone Full-color starlight ·techology ·Max. 30,908.6,649.0
DH-HAC-HFW1239TP-LED-S2,DAHUA 2MP 24x7 Full-color Starlight HDCVI Bullet Camera with 20m White LED illuminator - ·Full-color starlight ·techology ·Max. 30fps@1080P ·CVI/CVBS/,698.6,499.0
DH-IPC-HUM8231-L1-0280B,DAHUA 2MP Covert Pinhole Network Camera-Lens -Unit..Round 2.8mm Incl 8m Cable,2301.1499999999996,1587.0
DH-IPC-HUM8231P-E1,DAHUA 2MP Covert Pinhole Network Camera-Main Box · H.265&H.264 triple-stream encoding· Support Smart H.265+/H.264+· 50/60fps@1080P(1920×1080)· Day/Nig,3791.75,2615.0
DH-HAC-HMW3200LP-FR,"DAHUA 2MP Double-lens HDCVI Mobile IR Camera, · Max 30fps@1080P· HD and SD output switchable· 2.1mm fixed lens · Built-in Mic · Max. IR length 3m, Sma",1123.75,775.0
DH-HAC-HFW1209CP-LED,"DAHUA 2MP Full-color Starlight HDCVI Bullet Camera · Full-color starlight
· 20 m illumination distance · Max. 30fps@1080P · CVI/CVBS/AHD/TVI switchabl",471.8,337.0
DH-HAC-HDW1209TLQP-LED,"DAHUA 2MP Full-color Starlight HDCVI Eyeball Camera · Full-color starlight
· 20 m illumination distance · Max. 30fps@1080P · CVI/CVBS/AHD/TVI switchab",471.8,337.0
DH-HAC-HMW3200L,"DAHUA 2MP HDCVI IR Eyeball Mobile Camera, · Max 30fps@1080P· HD and SD output switchable· 2.1mm fixed lens· Built-in Mic· Max. IR length 3m, Smart IR·",667.0,460.0
DH-HAC-T3A21P-VF-2712,"DAHUA 2MP HDCVI IR Vari-Focal Dome Camera > 30fps@1080P> HD and SD output switchable> 2.7-12mm vari-focal lens> Max. IR length 40m, Smart IR> IP67, DC",763.0,545.0
DH-HAC-LC1220TP-TH,DAHUA 2MP HDCVI Temperature & Humidity Camera  it records video with real-time environmental information using display temperature & humidity· 30fps@1,698.6,499.0
DH-HAC-HFW1200TLP-A,DAHUA 2MP HDCVI Weatherproof 80m IR Bullet Camera with built-in Microphone >  30fps@1080P > Built-in mic  > CVI/CVBS/AHD/TVI switchable > 2.8mm fixed,525.0,375.0
DH-IPC-HFW2230S-S-S2,"DAHUA 2MP IR Bullet Network Camera. ·  1/2.7” CMOS image sensor, low illuminance, high image definition
· Outputs 2MP (1920 × 1080)@25/30 fps  H.265 c",1434.05,989.0
DH-IPC-HDBW2230EP-S-S2,"DAHUA 2MP IR Dome Network Camera· 2MP, 1/2.7” CMOS image sensor, 2MP (1920 × 1080)@25/30 fps· H.265 codec, high compression rate, ultra-low bit rate·",1403.53,967.9499999999999
DH-IPC-HDW2230TP-AS,"DAHUA 2MP IR Dome Network Camera·. · 2MP, 1/2.7” CMOS image sensor, low illuminance, high image definition· Outputs 2MP (1920 × 1080)@25/30 fps· H.265",1403.53,967.9499999999999
DH-IPC-HDBW5241EP-ZE,"DAHUA 2MP IR Vari-focal Dome WizMind Network Camera ·· 2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image.· Outputs max. 2 MP (19",2602.75,1795.0
DH-HAC-HUM1220GP-M,"DAHUA 2MP Mobile HDCVI Camera · Max 30fps@1080P· HDCVI output (Aviation connector)· 2.8mm fixed lens  IP67, DC12V  Shock-proof",616.25,425.0
DH-HAC-HDBW1200FP-M,"DAHUA 2MP Mobile HDCVI IR Dome Camera, · Max 30fps@1080P· HDCVI output (Aviation connector)· 3.6mm fixed lens(2.8mm optional) · Max. IR length 20m, Sm",942.5,650.0
DH-HAC-HDW1220GP-M,"DAHUA 2MP Mobile HDCVI IR Eyeball Camera,  Max 30fps@1080P· HDCVI output (Aviation connector)· 2.8mm fixed lens · Max. IR length 20m, Smart IR· IP67,",761.25,525.0
DH-IPC-HFW2249S-S-IL,"DAHUA 2MP Smart Dual Illumination Bullet WizSense Network Camera - 2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image.  H.265 cod",1808.1499999999999,1247.0
DH-IPC-HDW2249T-S-IL,"DAHUA 2MP Smart Dual Illumination Dome WizSense Network Camera 2-MP 1/2.8"" CMOS image sensor, low luminance, and high definition image. H.265 codec, h",1719.85,1186.1
DH-IPC-HF8242FP-FD,DAHUA 2MP Starlight Face Detection Box AI Network Camera · 1/1.9” 2Megapixel progressive scan CMOS· H.265&H.264 triple-stream encoding· 50/60fps@1080P,3762.75,2595.0
DH-IPC-HFW8232EP-ZE,DAHUA 2MP Starlight IR Bullet Network Camera. · 1/1.9” 2Megapixel progressive scan CMOS· H.265&H.264 triple-stream encoding· 50/60fps@1080P(1920×1080),3646.75,2515.0
DH-IPC-HFW8232EP-Z12-IRA,DAHUA 2MP Starlight IR Bullet Network Camera. · 1/1.9” 2Megapixel progressive scan CMOS· H.265&H.264 triple-stream encoding· 50/60fps@1080P(1920×1080),4328.25,2985.0
DH-IPC-HFW5242HP-Z6E-MF,"DAHUA 2MP Vari-focal Bullet WizMind 140m IR Network Camera> 2MP, 1/1.8” CMOS image sensor, low illuminance, high image definition> Outputs max. 2MP (1",7044.099999999999,4858.0
DH-IPC-HDW5241H-ASE-PV,"DAHUA 2MP WizMind AI IR Active Deterrence Dome Network Camea> 2MP 1/2.8"" CMOS image sensor, low illuminance, high definition image> Outputs max. 2MP (",3748.25,2585.0
DH-PFA162,"DAHUA 3 Axis bracket >Aesthetic design
>Material: aluminum >Housing bracket >Suitable for Housing  / ANPR / IR illuminator / General accessories insta",259.55,179.0
DHI-LM32-F200,"DAHUA 32 '' Industrial Monitor
· High fidelity digital processing for a brilliant and vivid video 
· 8ms fast response time with no image blurring or",6781.65,4677.0
DHI-NVR608-32-4KS2,"DAHUA 32CH NVR 4K ·384Mbps input, 16ch 1080P decoding, max 32 IPC input, H.265&H.264
8 HDD, 1 VGA&2 HDMI, 2 RJ45(1000M), 4 USB(2USB3.0)
Smart 2.0, Fis",12317.75,8495.0
DH-XVR4232AN-I,DAHUA 32CH Penta-brid 1080N/720p WizSense XVR> H.265+/H.265 dual-stream video compression.> Supports 8-channel AI-Coding.> Supports HDCVI/AHD/TVI/CVBS,5800.2,4143.0
DH-XVR5232AN-4KL-I2,DAHUA 32CH Penta-brid 4K-N/5MP AI WizSense DVR > H.265+/H.265 dual-stream video compression> Supports HDCVI/AHD/TVI/CVBS/IP video inputs> Max 32 chann,13016.65,8977.0
DH-XVR5232AN-I3,DAHUA 32CH Penta-brid 5M-N/1080P WizSense AI XVR > H.265+/H.265 dual-stream video compression.> Supports 16-channel AI-Coding.> Supports HDCVI/AHD/TVI,8006.32,5521.599999999999
DHI-NVR5232-EI,DAHUA 32CH WizSense Network Video Recorder · Smart H.265+/H.265/Smart H.264+/H.264/MJPEG decoding format. · 32-channel 1080p self-adaptive decoding ca,7678.98,5295.849999999999
DH-IPC-HDW8341XP-BV-3D,"DAHUA 3MP Dual-Lens People Counting AI Network Camera - · 3MP WizMind Dual-Lens Network Camera
> 1/2.8” CMOS image sensor, low illuminance, high image",9809.25,6765.0
DH-IPC-HDBW8331EP-ZE,"DAHUA 3MP WDR IR Dome Network Camera · 1/2.8” 3Megapixel progressive scan STARVIS™ CMOS
· H.265&H.264 triple-stream encoding · 50/60fps@3M(2048×1536)",3269.75,2255.0
DH-HAC-PFW3601P-A180,DAHUA 3X2MP Multi-Sensor Panoramic HDCVI IR-Bullet Camera · Three 1/2.8” 2Megapixel progressive scan CMOS · 1 panoramic view &3 individual 2MP video o,3913.0,2795.0
SDT7C424-4F-ZBZJ-APV-0400,"DAHUA 4 MP 24x Startlight IR WizMind Network Panoramic + PTZ Camema
Panoramic: 1/1.8"" 4 Megapixel F1.0 STARVIS™ CMOS
1/2.8"" 4 Megapixel STARVIS™ CMOS>",23790.15,16407.0
DH-SD6C3425XB-HNR-A-PV1,"DAHUA 4 MP 25x Starlight IR WizSense Network PTZ Camera> 1/2.8"" 4Megapixel STARVIS™ CMOS> Powerful 25x optical zoom> Starlight technology> Perimeter p",17236.15,11887.0
DH-SD5A445XA-HNR,"DAHUA 4 MP 45x Starlight IR WizSense Network PTZ Camera. 45x optical zoom, H.265, IVS, IR Distance up to 150m,  ±25% wide voltage input, -40°C~70°C wi",19038.5,13130.0
DHI-KTA02M,"DAHUA 4-Wire Video Intercom kit ·: 7 inch screen. Video intercom function: Unlock, voice call, video call, volumeadjustment, and doorway monitoring",2230.1,1538.0
DHI-LM43-F200,"DAHUA 43 '' Industrial Monitor
· Light and cost-effective plastic housing
· suitable for continuous 24/7 operation
· 178°H/178°V extra-wide viewing an",9625.029999999999,6637.95
DH-XVR1B04H-I,"DAHUA 4CH Penta-brid 5M-N/1080P WizSense AI XVR · H.265+/H.265 dual-stream video compression
· Supports Full-channel AI-Coding· Supports HDCVI/AHD/TVI",1152.1999999999998,823.0
DH-XVR1B04-I,"DAHUA 4CH Pentra-brid HDCVI/AHD/TVI/CVBS/IP 720P / 1080N DVR support CVI audio 
> H.265+/H.265 dual-stream video compression
> Supports Full channel A",868.0,620.0
DH-WM4700-O,"DAHUA 4G router 4G Router> 4G transmission: High speed 4G LTE connection, 100 Mbps downlink and 50 Mbps uplink.> Wi-Fi transmission: Connect your smar",4489.2,3096.0
DH-SD8A840WA-HNF,"DAHUA 4K 40x Starlight+ WizMind Network PTZ Camera   1/1.8” 8Megapixel STARVIS™ CMOS
· Powerful 40x optical zoom· Starlight+ technology· IR distance u",41978.950000000004,28951.0
DH-SD4E425GB-HNR-A-PV1,"DAHUA 4MP 25x Starlight IR WizSense Network PTZ Camera, IR distance up to 100 m, Auto-tracking 3.0, Full-color illuminator; red and blue warning light",10562.5,7393.75
DH-SD6CE445XA-HNR,"DAHUA 4MP 45x Starlight IR PTZ AI Network Camera · 1/2.8” 4Megapixel STARVIS™ CMOS
· Powerful 45x optical zoom· Starlight technology Max. 25/30fps@4MP",23192.75,15995.0
DH-SD6AL445XA-HNR,"DAHUA 4MP 45x Starlight Laser WizMind Network PTZ Camera > 1/2.8"" 4Megapixel CMOS > Powerful 45x optical zoom > Starlight technology > Max. 25/30 fps@",31827.5,21950.0
DHI-ITC413-PW4D-IZ3,"DAHUA 4MP AI ANPR / LPR Camera, High-performance CMOS image sensor and processor that supports continuously extracting metadata 24/7. Adopts intellige",11923.28,8222.949999999999
DHI-ITC413-PW4D-IZ1,"DAHUA 4MP AI ANPR / LPR Camera, High-performance CMOS image sensor and processor that supports continuously extracting metadata 24/7. Adopts intellige",10594.5,7306.549999999999
DHI-ITC431-RW1F-IRL8,"DAHUA 4MP IR AI Enforcement ANPR / LPR Camera ultra starlight CMOS with high sensitivity, high SNR, and excellent WDR, providing lifelike images 24/7.",19376.350000000002,13363.0
DH-IPC-HFW2441S-S,"DAHUA 4MP Smart Bullet WizSense Network Camera 4-MP 1/2.9"" CMOS image sensor, low luminance, and high definition image.Outputs max. 4 MP (2688 × 1520)",2342.1666999999998,1405.3
DH-IPC-HDW2441T-S,"DAHUA 4MP Smart Dome WizSense Network Camera 4-MP 1/2.9"" CMOS image sensor, low luminance, and high definition image.Outputs max. 4 MP (2688 × 1520)@2",1772.4099999999999,1222.35
DH-IPC-HDW2449T-S-IL,"DAHUA 4MP Smart Dual Illumination Dome WizSense Network Camera. 4-MP 1/2.9"" CMOS image sensor, low luminance, and high definition image. 
Outputs max.",1942.7099999999998,1339.8
DH-IPC-HFW2449S-S-IL,"DAHUA 4MP Smart Dual Illumination Fixed-focal Bullet WizSense Network Camera
> 4-MP 1/2.9"" CMOS image sensor, low luminance, and high definition image",1941.55,1339.0
DH-IPC-HFW3441EP-AS,"DAHUA 4MP WizSense AI IR Bullet Network Camera - 4MP, 1/3” CMOS image sensor, low illuminance, high image definition · Outputs max. 4MP (2688 × 1520)@",2567.1499999999996,1770.4499999999998
DH-IPC-HDW3441TMP-AS,"DAHUA 4MP WizSense AI IR Dome Network Camera, 1/3” CMOS image sensor, low illuminance, high image definition· Outputs max. 4MP (2688 × 1520) @30 fps·",2348.49,1619.6499999999999
DH-IPC-HDW3441TP-ZAS,"DAHUA 4MP WizSense AI Motorised Zoom varifocal lens WDR 40m IR Dome Network Camera -· 4MP, 1/3” CMOS image sensor, low illuminance, 4MP (2688 × 1520)@",3560.6899999999996,2455.6499999999996
DH-IPC-HFW3441TP-ZAS,"DAHUA 4MP WizSense AI Motorised Zoom varifocal lens WDR 60m IR Bullet Network Camera -· 4MP, 1/3” CMOS image sensor, low illuminance, 4MP (2688 × 1520",4046.1499999999996,2790.45
DH-IPC-HFW2441T-ZAS,"DAHUA 4MP WizSense AI Motorised Zoom varifocal lens WDR 60m IR Bullet Network Camera> 4-MP 1/2.9"" CMOS image sensor, low luminance, and high definitio",4049.4199999999996,2792.7
DH-SD2A500-GN-A-PV,"DAHUA 5 MP IR and White Light Full-color Network Pan Tilt Camera> 1/2.8"" 5Megapixel STARVIS™ CMOS> Max. 20 fps@5MP> Human detection> Tripwire, intrusi",2531.7,1746.0
